Date/Time,Homescreen; Z; PS1000-4; Chamber Temp #1(°C),Homescreen; Z; PS1000-4; Chamber Temp #2(°C),Homescreen; Z; PS1000-4; Control Temperature(°C),Homescreen; Z; PS1000-4; Chamber Humidity #1(%Rh),Homescreen; Z; PS1000-4; Chamber Humidity #2(%Rh),Homescreen; Z; PS1000-4; Control Humidity(%Rh),Homescreen; Z; PS1000-4; IO[A]; LED 1 Temperature(°C),Homescreen; Z; PS1000-4; IO[A]; LED 2 Temperature(°C),Homescreen; Z; PS1000-4; IO[A]; LED 3 Temperature(°C),Homescreen; Z; PS1000-4; Vapor Press Deficit(mb),Homescreen; Z; PS1000-4; Chamber PAR Level(µmol),Homescreen; Z; PS1000-4; IO[C]; Chamber CO2 Reading(ppm),Homescreen; Z; PS1000-4; IO[A]; LED RECIRC IN(°C),Homescreen; Z; PS1000-4; IO[B]; LED RECIRC OUT(°C),Homescreen; Z; PS1000-4; IO[C]; CO2 Flow Rate(mL/M),Homescreen; Z; PS1000-4; Time Above Threshold(0:00),Homescreen; Z; PS1000-4; Temperature Setpoint(°C),Homescreen; Z; PS1000-4; VPD Setpoint(mb),Homescreen; Z; PS1000-4; Current Program Number(N/A),Homescreen; Z; PS1000-4; CO2 Setpoint(ppm)
2023/07/12 00:00:00,25.48,25.36,25.48,65.70,66.80,65.70,25.84,30.01,26.63,11.18,29.0,385.0,22.65,22.30,0.0,2918.0,26.0,10.08,10.0,400.0
2023/07/12 00:01:00,25.28,25.14,25.28,72.40,73.40,72.40,25.84,29.95,26.61,8.88,7.0,384.0,22.68,22.34,0.0,2918.0,20.1,7.06,10.0,400.0
2023/07/12 00:02:00,25.21,25.16,25.21,65.00,67.00,65.00,25.81,29.86,26.60,11.21,2.0,387.0,22.68,22.34,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:03:00,24.68,24.76,24.68,56.50,57.80,56.50,25.60,29.52,26.43,13.54,2.0,390.0,22.68,22.34,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:04:00,23.95,24.08,23.95,55.20,56.20,55.20,25.38,29.09,26.22,13.34,2.0,392.0,22.69,22.34,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:05:00,23.20,23.34,23.20,55.50,56.50,55.50,25.16,28.64,26.01,12.66,2.0,392.0,22.73,22.36,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:06:00,22.52,22.63,22.52,56.10,57.10,56.10,24.93,28.16,25.80,11.97,2.0,393.0,22.73,22.39,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:07:00,21.93,21.98,21.93,56.80,58.00,56.80,24.68,27.69,25.59,11.36,2.0,393.0,22.75,22.39,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:08:00,21.38,21.39,21.38,57.80,59.10,57.80,24.43,27.23,25.39,10.73,2.0,394.0,22.78,22.39,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:09:00,20.89,20.87,20.89,59.80,61.00,59.80,24.17,26.79,25.19,9.93,2.0,394.0,22.78,22.44,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:10:00,20.52,20.48,20.52,65.00,66.10,65.00,23.94,26.36,25.01,8.46,2.0,394.0,22.82,22.44,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:11:00,20.34,20.26,20.34,72.40,73.50,72.40,23.77,25.97,24.85,6.59,2.0,393.0,22.83,22.44,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:12:00,20.35,20.24,20.35,78.30,79.30,78.30,23.63,25.66,24.73,5.18,2.0,392.0,22.86,22.44,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:13:00,20.46,20.34,20.46,81.50,82.70,81.50,23.50,25.37,24.62,4.46,2.0,391.0,22.88,22.44,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:14:00,20.47,20.36,20.47,75.30,77.10,75.30,23.33,25.07,24.48,5.94,2.0,393.0,22.88,22.47,0.0,2918.0,20.0,7.01,10.0,400.0
