Model Name	LI-180
Serial Number	818M0044
Time	2021/11/01_07:18:06
PPFD	378.762207
PFD	386.651093
PFD-UV	0.382316
PFD-B	49.726665
PFD-G	86.619652
PFD-R	242.415909
PFD-FR	7.506633
Custom1(380~780nm)	386.651093
Custom2(380~780nm)	386.651093
Custom3(380~780nm)	386.651093
Custom4(380~780nm)	386.651093
UV%	0.098879
B%	12.860860
G%	22.402531
R%	62.696281
FR%	1.941448
Custom1%	100.000000
Custom2%	100.000000
Custom3%	100.000000
Custom4%	100.000000
R:B	4.874968
R:FR	32.293560
R:G	2.798625
B:G	0.574081
UV:B	0.007688
UV:FR	0.050930
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
HUH(PFD-B:PFD-R:PFD-G:PFD-FR)	0.000000
Ratio2(PFD-G)	0.000000
Ratio3(PFD-B)	0.000000
Ratio4	0.000000
LambdaP	659.000000
LambdaPV	1508.877930
LambdaD	690.000000
LUX	15185.671875
IRR	77.776031
fc	1411.307739
I-Time	8.000000
380nm	7.984011
381nm	7.566223
382nm	7.054331
383nm	6.733475
384nm	6.441114
385nm	6.335154
386nm	6.124317
387nm	5.608509
388nm	5.300984
389nm	5.333901
390nm	5.329683
391nm	5.288873
392nm	5.350116
393nm	5.471742
394nm	5.042549
395nm	4.432992
396nm	4.901278
397nm	5.518019
398nm	6.088879
399nm	6.515093
400nm	5.984196
401nm	5.761242
402nm	6.422537
403nm	6.809840
404nm	6.761066
405nm	7.076501
406nm	7.736379
407nm	8.586564
408nm	9.542577
409nm	10.728414
410nm	11.982149
411nm	13.288579
412nm	14.665388
413nm	17.975677
414nm	21.362671
415nm	25.142237
416nm	29.224604
417nm	34.029732
418nm	39.332596
419nm	45.301296
420nm	52.534180
421nm	60.756676
422nm	69.469543
423nm	78.397789
424nm	88.555908
425nm	98.966988
426nm	111.415672
427nm	124.047279
428nm	137.645264
429nm	151.358719
430nm	165.442810
431nm	179.687927
432nm	194.201233
433nm	208.611984
434nm	222.925705
435nm	237.056229
436nm	251.089340
437nm	264.812714
