Wavelength(nm)	PFD(umol m-2 s-1)
380	0.025362
381	0.024098
382	0.022526
383	0.021558
384	0.020676
385	0.020389
386	0.019761
387	0.018144
388	0.017193
389	0.017345
390	0.017376
391	0.017287
392	0.017532
393	0.017976
394	0.016608
395	0.014637
396	0.016225
397	0.018312
398	0.020258
399	0.021730
400	0.020010
401	0.019312
402	0.021583
403	0.022941
404	0.022833
405	0.023958
406	0.026256
407	0.029214
408	0.032546
409	0.036680
410	0.041067
411	0.045655
412	0.050508
413	0.062059
414	0.073931
415	0.087222
416	0.101628
417	0.118622
418	0.137436
419	0.158671
420	0.184444
421	0.213820
422	0.245064
423	0.277215
424	0.313874
425	0.351602
426	0.396760
427	0.442779
428	0.492467
429	0.542797
430	0.594687
431	0.647394
432	0.701307
433	0.755091
434	0.808765
435	0.862011
436	0.915139
437	0.967370
438	1.019534
439	1.071468
440	1.123692
441	1.177343
442	1.230027
443	1.278633
444	1.324121
445	1.363919
446	1.396922
447	1.423252
448	1.432916
449	1.433614
450	1.414753
451	1.390824
452	1.341565
453	1.288598
454	1.215811
455	1.140243
456	1.056656
457	0.972322
458	0.887038
459	0.806128
460	0.728861
461	0.660719
462	0.596431
463	0.545671
464	0.497187
465	0.459503
466	0.423147
467	0.394607
468	0.367181
469	0.342341
470	0.319808
471	0.299887
472	0.280856
473	0.262317
474	0.247266
475	0.233100
476	0.223263
477	0.213639
478	0.204205
479	0.195948
480	0.190865
481	0.187070
482	0.184931
483	0.183420
484	0.182318
485	0.183194
486	0.184661
487	0.189486
488	0.194556
489	0.199726
490	0.205853
491	0.214437
492	0.223501
493	0.233146
494	0.244882
495	0.257910
496	0.271863
497	0.286095
498	0.302098
499	0.318462
500	0.336329
501	0.354300
502	0.372413
503	0.391589
504	0.411813
505	0.432839
506	0.454278
507	0.474845
508	0.495401
509	0.517121
510	0.538897
511	0.560670
512	0.582430
513	0.604141
514	0.623702
515	0.641896
516	0.660400
517	0.679033
518	0.698251
519	0.717090
520	0.733904
521	0.750247
522	0.765750
523	0.780041
524	0.793410
525	0.808393
526	0.823919
527	0.837112
528	0.850058
529	0.862031
530	0.873565
531	0.884278
532	0.894596
533	0.904610
534	0.913599
535	0.922289
536	0.929671
537	0.937264
538	0.945978
539	0.953240
540	0.958132
541	0.963986
542	0.970511
543	0.974983
544	0.978967
545	0.983608
546	0.988003
547	0.991551
548	0.994746
549	0.997499
550	0.998643
551	0.998966
552	1.002259
553	1.005880
554	1.008872
555	1.010528
556	1.009404
557	1.009308
558	1.010059
559	1.010810
560	1.011556
561	1.011504
562	1.011523
563	1.011790
564	1.011069
565	1.009194
566	1.008833
567	1.009138
568	1.007369
569	1.005405
570	1.003308
571	1.001659
572	1.000683
573	0.998264
574	0.995028
575	0.991475
576	0.988204
577	0.987278
578	0.985282
579	0.981466
580	0.978597
581	0.976312
582	0.971786
583	0.967072
584	0.963733
585	0.960428
586	0.957198
587	0.952598
588	0.947149
589	0.941705
590	0.936222
591	0.930594
592	0.925161
593	0.920044
594	0.913900
595	0.907201
596	0.904100
597	0.900750
598	0.894870
599	0.888877
600	0.882749
601	0.877209
602	0.871886
603	0.870644
604	0.868764
605	0.864954
606	0.863481
607	0.864040
608	0.861420
609	0.858505
610	0.860159
611	0.862461
612	0.865864
613	0.870634
614	0.876137
615	0.883474
616	0.891589
617	0.901946
618	0.914383
619	0.928809
620	0.947281
621	0.967231
622	0.991404
623	1.018420
624	1.049867
625	1.086528
626	1.125649
627	1.172998
628	1.223012
